Gesture_Sequence,Natural_Sentence
Home+Stop+ThankYou,Let's go home. Please halt. And much appreciated.
Home+Stop+Sorry,I want to go home. Please halt. And I am sorry.
Home+Stop+Help,Take me home. Please stop. And I need your assistance.
Home+Stop+Wait,Let's go home. Please wait right there. And wait a moment.
Home+Stop+Hungry,Take me home. Please halt. And I need food.
Home+Stop+Water,Take me home. Please halt. And I need water.
Home+Stop+Pain,Let's go home. Please stop. And I'm in pain.
Home+Stop+Emergency,I want to go home. Please halt. And this is an emergency!
Home+Wait+Hello,"Let's go home. Please wait a moment. And hello."
Home+Wait+Goodbye,Let's go home. Please wait a moment. And goodbye.
Home+Wait+Yes,"Take me home. Please wait a moment. And yes."
Home+Wait+No,"I want to go home. Please wait a moment. And no."
Home+Wait+Please,Let's go home. Please hold on. And if you would.
Home+Wait+ThankYou,Take me home. Please hold on. And thank you.
Home+Wait+Sorry,I want to go home. Please wait a moment. And I am sorry.
Home+Wait+Help,I want to go home. Please hold on. And I need your assistance.
Home+Wait+Stop,I want to go home. Please wait a moment. And please stop.
Home+Wait+Hungry,Let's go home. Please wait a moment. And I need food.
Home+Wait+Water,Let's go home. Please hold on. And I need water.
Home+Wait+Pain,Let's go home. Please wait a moment. And it hurts.
Home+Wait+Emergency,Take me home. Give me a second. And this is an emergency!
Home+Hungry+Hello,"Take me home. I need food. And hello."
Home+Hungry+Goodbye,I want to go home. I'm hungry. And goodbye.
Home+Hungry+Yes,"Let's go home. Please get me food. And yes."
Home+Hungry+No,"I want to go home. Please get me food. And no."
Home+Hungry+Please,I want to go home. I need food. And if you would.
Home+Hungry+ThankYou,I want to go home. I need food. And thank you.
Home+Hungry+Sorry,I want to go home. Please get me food. And I am sorry.
Home+Hungry+Help,Let's go home. I need food. And I need your help.
Home+Hungry+Stop,I want to go home. I need food. And please stop.
Home+Hungry+Wait,I want to go home. I need food. And give me a second.
Home+Hungry+Water,I want to go home. Please get me food. And I'm thirsty.
Home+Hungry+Pain,Let's go home. I'm hungry. And I'm in pain.
Home+Hungry+Emergency,I want to go home. I need food. And this is an emergency!
Home+Water+Hello,"Let's go home. I'm thirsty. And hello."
Home+Water+Goodbye,Let's go home. Please get me a drink. And goodbye.
Home+Water+Yes,"I want to go home. Please get me a drink. And yes."
Home+Water+No,"Let's go home. I need water. And no."
Home+Water+Please,"I want to go home. I'm thirsty. And if you would, please."
Home+Water+ThankYou,Let's go home. I need water. And thanks.
Home+Water+Sorry,Take me home. I'm thirsty. And I am sorry.
Home+Water+Help,Take me home. I'm thirsty. And I need your help.
Home+Water+Stop,Let's go home. Please get me a drink. And please wait right there.
Home+Water+Wait,Take me home. I'm thirsty. And hold on.
Home+Water+Hungry,I want to go home. I'm thirsty. And I need food.
Home+Water+Pain,Take me home. I need water. And it hurts.
Home+Water+Emergency,Take me home. I need water. And this is an emergency!
Home+Pain+Hello,"Take me home. I'm in pain. And hello."
Home+Pain+Goodbye,I want to go home. I am in pain. And goodbye.
Home+Pain+Yes,"Take me home. I am in pain. And yes."
Home+Pain+No,"Let's go home. It hurts. And no."
Home+Pain+Please,Let's go home. I am in pain. And if you would.
Home+Pain+ThankYou,I want to go home. I am in pain. And thank you.
Home+Pain+Sorry,I want to go home. I'm in pain. And I am sorry.
Home+Pain+Help,Let's go home. It hurts. And I need your assistance.
Home+Pain+Stop,I want to go home. It hurts. And please stop.
Home+Pain+Wait,Let's go home. I'm in pain. And hold on.
Home+Pain+Hungry,I want to go home. I am in pain. And I need food.
Home+Pain+Water,Let's go home. I'm in pain. And I need a drink.
Home+Pain+Emergency,Take me home. I'm in pain. And this is urgent!
Home+Emergency+Hello,"Take me home. This is an emergency! And hello."
Home+Emergency+Goodbye,Take me home. This is urgent! And goodbye.
Home+Emergency+Yes,"Let's go home. This is an emergency! And yes."
Home+Emergency+No,"I want to go home. This is urgent! And no."
Home+Emergency+Please,Take me home. This is an emergency! And if you would.
Home+Emergency+ThankYou,Let's go home. This is an emergency! And much appreciated.
Home+Emergency+Sorry,I want to go home. This is an emergency! And I am sorry.
Home+Emergency+Help,I want to go home. This is an emergency! And I need your help.
Home+Emergency+Stop,Let's go home. This is urgent! And please stop.
Home+Emergency+Wait,Let's go home. This is an emergency! And wait a moment.
Home+Emergency+Hungry,Take me home. This is an emergency! And I'm hungry.
Home+Emergency+Water,I want to go home. This is urgent! And I need a drink.
Home+Emergency+Pain,Take me home. This is an emergency! And I'm in pain.
Sorry+ThankYou+Water+Wait,"I apologize. Thank you for your patience. I need some water, so could you please hold on for a moment?"
Goodbye+No+Hungry+Wait,"Goodbye for now. No, that is not correct. I am feeling quite hungry, so could you please give me a second?"
Wait+Help+Yes+Please,"Please hold on for a moment. I could use your assistance. Yes, that is right, and please, if you would."
Stop+Hungry+Pain+Goodbye,"Please stop what you're doing. I need something to eat, and I am in a lot of pain. I have to go now, goodbye."
Water+Hungry+Stop+Pain,"I need some water, and I would also like something to eat. Could you please stop for a moment? I am in a lot of pain."
Emergency+ThankYou+Stop+Sorry,"This is an emergency! Thank you for your help. Please stop what you're doing. And I am sorry for the trouble."
Emergency+Hello+Hungry+Home,"This is urgent! Hello there. I really need something to eat, and I need you to take me home, please."
Yes+ThankYou+Stop+Please,"Yes, that is correct. Thank you. Could you please wait right there for a moment? And if you would, please."
Please+Wait+Hello+Water,"Please, could you hold on a moment? Hello there. And when you have a moment, I could really use a drink of water."
Yes+Stop+Please+Goodbye,"Yes, that's right. Please wait right there. And now, if you would, please, I must say goodbye."
Water+Wait+Please+Sorry,"Could you please get me a drink of water? Please hold on a moment. And if you would, please, I apologize for the interruption."
No+Water+Hello+Please,"No, that is not correct. I need some water, please. Hello. And if you would, please."
Pain+Stop+Help+Hungry,"I am in pain. Could you please stop? I need your help. I am also feeling quite hungry."
Goodbye+Pain+Stop+Help,"Goodbye for now. It hurts, so please stop what you are doing. I could really use your help."
Water+Emergency+Stop+Sorry,"I need water immediately. This is an emergency! Please stop what you're doing. And I am sorry."
Help+Hungry+Water+Please,"I need your assistance, please. I am hungry and could really use something to eat, and some water, if you would."
No+Hello+Emergency+Pain,"No, that is not right. Hello. This is an emergency! I am in severe pain."
Wait+Sorry+Pain+ThankYou,"Could you please hold on? I am sorry, but I'm in pain. Thank you for understanding."
Help+No+Hello+Sorry,"I need your help. No, that is not correct. Hello. And I apologize for the confusion."
Stop+Help+Goodbye+Wait,"Please stop for a moment. I need your assistance. And now, goodbye. Could you give me just a second?"
Wait+Hello+Sorry+Help,"Please hold on for a moment. Hello there. I am sorry to bother you, but I could really use your help."
Emergency+Hungry+Wait+Water,"This is an emergency! I am very hungry. Please give me a second, and I also need some water."
Help+Goodbye+No+Pain,"I need your assistance. Goodbye for now. No, that is incorrect. And it hurts."
Hello+Sorry+Please+Goodbye,"Hello there. I apologize for the trouble. If you would, please. And goodbye for now."
Please+Help+Home+Stop,"If you would, please help me. I need to go home. Could you please stop for a moment?"
Yes+Home+Water+Pain,"Indeed, that is correct. I would like to go home, please. I am very thirsty and I am in a lot of pain."
Home+Emergency+No+Pain,"Please take me home. This is an emergency! No, that is not right. And I am in pain."
Home+Emergency+Yes+Please,"Let's go home. This is an emergency! Yes, that is correct. And please, if you would."
Home+Help+ThankYou+Wait,"Please take me home. I need your assistance. Thank you. Could you please give me a second?"
Wait+Water+Emergency+ThankYou,"Please hold on a moment. I need some water. This is an emergency! Thank you for your help."
Water+Yes+ThankYou+Please,"I need some water. Yes, that is correct. Thank you. And if you would, please."
No+Stop+Wait+Pain,"No, I do not want that. Please wait right there. Could you give me a second? I am in a lot of pain."
Emergency+Stop+Please+Hello,"This is an emergency situation! Please stop what you are doing. And if you would, please. Hello."
Please+Wait+Goodbye+Stop,"If you would, please hold on a moment. I have to say goodbye now. Could you please stop?"
No+Hungry+Sorry+Please,"No, that is not right. I am very hungry. I apologize for the interruption. And please, if you would."
Emergency+Pain+No+Please,"This is an emergency! I am in a lot of pain. No, that is incorrect. And please, if you would."
Emergency+No+Goodbye+Wait,"This is an emergency! No, that is not right. Goodbye for now. Could you please hold on a moment?"
Help+Emergency+Pain+Water,"Please help me. This is an emergency! I am in severe pain. Could you get me some water?"
Yes+Pain+Water+No,"Yes, that is correct. I am in a lot of pain, and I need water. No, that other thing is not right."
Please+Pain+Help+Hello,"Please, I am suffering. I need your help. And hello to you."
Goodbye+Help+Hello+Hungry,"I am leaving now. I need your assistance. Hello there. I also need something to eat."
Hello+Home+Emergency+Water,"Hello there. Please take me home. This is an emergency! I am very thirsty."
Water+Wait+ThankYou+Please,"I am very thirsty. Could you please hold on a moment? Thank you. And if you would, please."
Please+ThankYou+Pain+Wait,"If you would, please. Thank you. I am in a lot of pain. Could you please give me a second?"
ThankYou+Water+Hungry+Home,"Thank you very much. I need some water, and I am also hungry. Let's go home now."
Wait+ThankYou+Water+Hungry,"Could you please wait a moment? Thank you. Could you get me a drink? I also need something to eat."
Hello+Please+Help+Sorry,"Hello there. If you would, please, I need your assistance. And I am sorry to bother you."
Hungry+ThankYou+Sorry+No,"I am very hungry. Thank you. I apologize for the trouble. And no, that is not correct."
Emergency+Wait+No+Please,"This is urgent! Could you please wait a moment? No, that is incorrect. And if you would, please."
Hello+Home+Pain+Yes,"Hello. I want to go home. It hurts. Yes, that is right."
Help+Please+Sorry+Home,"    I need your help. If you would, please, I apologize. I just want to go home."
Help+Yes+No+Wait,"Please assist me. Yes, that is correct. No, that is not right. Could you please give me a second?"
Help+ThankYou+Home+Pain,"Please assist me. Thank you. I need to go home. It hurts."
Home+Pain+Sorry+Goodbye,"Take me home. I am in pain. I apologize for this. And goodbye for now."
Pain+Wait+Help+Water,"It hurts. Please hold on. I need your help. And I need some water."
Hello+Yes+Sorry+Water,"Hello. Yes, that is correct. I apologize, but I am very thirsty."
Yes+Home+Hello+Pain,"Yes, that's right. Please take me home. Hello. I am suffering."
Help+Home+Please+No,"Please help me. Let's go home. If you would, please. No, that is not right."
Home+Wait+Emergency+Goodbye,"Please take me home. Give me a second. This is an emergency! And now, goodbye."
Yes+Please+Hello+Wait,"Yes, that is correct. If you would, please. Hello. Could you wait a moment?"
Yes+Goodbye+Stop+Water,"Yes, that's right. Goodbye for now. Please stop. And I am very thirsty."
Sorry+Pain+ThankYou+Help,"I am sorry. I am in a lot of pain. Thank you for your help. I need your assistance."
Sorry+Stop+Yes+No,"I apologize. Please halt. Yes, that is correct. And no to the other part."
Stop+Hello+Please+Hungry,"Please stop. Hello. If you would, please, I am very hungry."
Help+Please+ThankYou+Water,"I need your assistance. If you would, please. Thank you. And I need some water."
Stop+Sorry+Pain+Hello,"Please halt. I am sorry. It hurts. Hello."
No+ThankYou+Hungry+Help,"No, thank you. I need something to eat. Could you please assist me?"
Please+Wait+Goodbye+Pain,"Kindly hold on for a moment. Goodbye for now. I am suffering from pain."
Water+Wait+Yes+ThankYou,"I'm thirsty. Could you please hold on? Yes, that is correct. Thank you."
Please+No+Hungry+Goodbye,"Please, no, that is incorrect. I need food. I am leaving now, goodbye."
Pain+Help+Water+Hungry,"I am suffering. I need your assistance. I need water, and I also need food."
Sorry+Pain+ThankYou+Hello,"My apologies. I am suffering. Much appreciated. And hello."
Pain+Help+Goodbye+ThankYou,"I am suffering. Please help me. Goodbye. And thank you very much."
Stop+Emergency+Home+Hello,"Please wait right there. This is urgent! Take me home. Hello."
Water+Hungry+Yes+Sorry,"Please get me a drink. I need something to eat. Yes, that's right. I am sorry."
Home+Water+ThankYou+Sorry,"Let's go home. I need some water. Thank you. I apologize."
Goodbye+Help+Wait+ThankYou, I am leaving now. I need your help. Could you please wait a moment? Thank you.
Water+Home+Sorry+Goodbye, I need some water. Take me home. I apologize. See you later.
Hungry+Hello+Home+Pain,"I need something to eat. Hello. I want to go home. I am in pain."
Water+Goodbye+Hungry+Emergency, Please get me a drink. Goodbye. I'm hungry. This is an emergency situation!
Water+Yes+Home+Hello,"I need water. Yes, let's go home. Hello there."
Please+Hello+Pain+Home,"Please, hello. I am suffering. I want to go home."
Yes+Hello+Stop+Hungry,"Yes, hello. Please wait right there. I need something to eat."
No+Hello+Please+Emergency,"No, hello. Please, this is an emergency!"
ThankYou+No+Please+Wait,"Much appreciated. No, please give me a second."
Stop+Emergency+Goodbye+Please, Please stop. This is an emergency! Goodbye. If you would.
Wait+Pain+No+Please,"Please give me a second. It hurts. No, and please."
Yes+Help+ThankYou+Emergency,"Yes, I need your assistance. Much appreciated. This is urgent!"
Stop+Emergency+Wait+Help, Please wait right there. This is an emergency! Please wait a moment. I need your assistance.
Yes+Emergency+No+Water,"Yes, this is an emergency! No, that is incorrect. I need water."
Hungry+Goodbye+No+Wait,"I need food. Goodbye. No, that is incorrect. Please wait a moment."
Please+Sorry+Stop+Help,"Kindly, I am sorry. Please halt. I need your assistance."
Sorry+Pain+No+Stop,"My apologies. It hurts. No, please stop."
ThankYou+Home+Stop+Sorry, Much appreciated. Let's go home. Please stop. I am sorry.
Please+Wait+Pain+Hungry, Kindly wait a moment. I am in pain. Could you get me something to eat?
Please+No+Water+Home,"Please, no. I need water. Please take me home."
Pain+Sorry+ThankYou+No,"I'm in pain. My apologies. Much appreciated. And no."
Yes+Stop+Sorry+Hello,"Yes, please wait right there. I apologize. Hello."
Please+Water+No+Home,"If you would, I'm thirsty. No, that is incorrect. Let's go home."
Goodbye+Water+Please+Emergency,"Goodbye. Please get me a drink. And please, this is an emergency!"
No+Pain+Water+ThankYou,"No, that is incorrect. I am suffering. I'm thirsty. Thank you."
Water+Yes+Sorry+Hello,"I'm thirsty. Indeed, I apologize. Hello."
Sorry+Please+No+Pain,"I'm sorry. Please, no. It hurts."
Hungry+No+ThankYou+Help,"I need food. No, thank you. Please assist me."
Emergency+Help+Hungry+Hello,"This is an emergency! I need your assistance. Get me something to eat. Hello."
ThankYou+Wait+No+Goodbye,"Thanks. Please hold on. No, goodbye for now."
Yes+Home+Hungry+Wait,"Indeed, let's go home. I'm hungry. Please wait a moment."
Please+Emergency+Home+Hungry,"If you would, this is an emergency! Please take me home. And I need something to eat."
Wait+No+Emergency+Help,"Please wait a moment. No, this is an emergency! I need your help."
Pain+Home+Please+Yes,"I'm in pain. Let's go home. Please, yes."
ThankYou+Sorry+Yes+Emergency,"Thanks. I'm sorry. Yes, that is correct. This is urgent!"
Sorry+ThankYou+No+Goodbye,"I apologize. Much appreciated. No, goodbye."
Water+ThankYou+Goodbye+Please,"I need water. Thank you. Goodbye for now. And please."
Stop+Yes+Please+Hungry,"Please wait right there. Yes, please, I'm hungry."
Home+Stop+Yes+ThankYou,"Let's go home. Please stop. Yes, thanks."
Sorry+Wait+ThankYou+Pain, I'm sorry. Please give me a second. Thanks. It hurts.
Sorry+Goodbye+Home+Hungry, I apologize. Goodbye. I want to go home. I need something to eat.
Goodbye+Wait+Yes+Pain,"Goodbye. Please hold on. Yes, that is correct. I am suffering."
Please+Water+No+Emergency,"Please, I'm thirsty. No, this is an emergency!"
Home+Yes+Help+Hungry,"Let's go home. Yes, I need your assistance. I need food."
Stop+Pain+Emergency+Hello,"Please stop. It hurts. This is an emergency! Hello."
Goodbye+Hungry+Pain+Wait, Goodbye. I'm hungry. It hurts. Could you give me a second?
Pain+Water+No+Sorry,"I'm in pain. I'm thirsty. No, that's incorrect. I'm sorry."
Help+ThankYou+Hungry+Pain, Please help me. Thank you. I need food. It hurts.
ThankYou+Goodbye+Stop+Emergency, Thank you. See you later. Please stop. This is an emergency!
Please+Water+Hello+Help,"Kindly, I'm thirsty. Hello. Please help me."
Hello+Goodbye+Stop+Home,"Hello, and goodbye. Please stop. I want to go home."
Hello+Goodbye+ThankYou+Emergency,"Hello. Goodbye. Thank you. This is an emergency!"
Sorry+Wait+Goodbye+Yes,"I'm sorry. Please give me a second. Goodbye. Yes, that is correct."
No+Help+ThankYou+Sorry,"No, I need your assistance. Thank you. I apologize."
Stop+Hungry+Emergency+ThankYou,"Please wait right there. Get me something to eat. This is an emergency! Much appreciated."
Home+Help+Pain+Hello,"I want to go home. Please assist me. I'm in pain. Hello."
Water+Home+Please+Goodbye,"Please get me a drink. I want to go home. If you would, please. Goodbye."
ThankYou+Emergency+Stop+Help,"Thank you. This is an emergency! Please stop. I need your help."
Help+Yes+No+Goodbye,"I need your assistance. Yes. No. See you later."
No+Yes+Help+Stop,"No. Yes, I need your assistance. Please stop."
Hello+Hungry+Yes+Stop,"Hello. I need food. Yes, that is correct. Please stop."
Hungry+Yes+ThankYou+Water,"I need food. Yes. Thanks. I'm thirsty."
Yes+Emergency+Hello+Pain,"Yes, this is an emergency! Hello. I am suffering."
No+Wait+Hungry+ThankYou,"No. Please wait a moment. I need something to eat. Thanks."
Goodbye+Help+Stop+Sorry,"Goodbye. I need your assistance. Please stop. I am sorry."
Water+Pain+Hello+Sorry,"I need water. I'm in pain. Hello. My apologies."
Hello+Sorry+Stop+Goodbye,"Hello. I apologize. Please stop. Goodbye."
Home+Pain+Please+Help,  "Take me home. I am suffering. If you would, please help me."
Please+Emergency+Help+Water,"If you would, this is an emergency! Please help me. I need water."
Yes+Help+Wait+Hungry,"Yes, please help me. Please hold on. I need something to eat."
Yes+Home+No+Wait,"Yes, let's go home. No, that is incorrect. Please give me a second."
Yes+Wait+Stop+Goodbye,"Yes, wait a moment. Please wait right there. Goodbye."
Stop+Wait+ThankYou+Help,"Please stop. Please give me a second. Much appreciated. I need your assistance."
Emergency+Goodbye+Sorry+Hello,"Emergency situation! Goodbye. My apologies. Hello."
Hungry+No+Pain+Yes,"I need something to eat. No, that's incorrect. I am suffering. Yes, that is right."
Goodbye+Hello+Yes+Please,"Goodbye. Hello. Yes, that is correct. Please."
Hello+Pain+No+Wait,"Hello. It hurts. No. Please hold on."
Please+No+Emergency+Yes,"If you would, no. This is an emergency! Yes, that is correct."
Help+Pain+Stop+Sorry, Please assist me. It hurts. Please stop. I apologize.
Home+Pain+Yes+No,"I want to go home. It hurts. Yes, that is correct. No, that is incorrect."
Sorry+Help+Yes+Hello,"I'm sorry. Please assist me. Yes. Hello."
Home+Wait+Pain+Goodbye, I want to go home. Please wait a moment. I'm in pain. Goodbye.
Stop+Home+Hungry+Yes,"Please wait right there. Let's go home. I need food. Yes."
Water+Wait+ThankYou+Hungry, Please get me a drink. Wait a moment. Thank you. I'm hungry.
Water+Please+Hungry+Yes,"I'm thirsty. Please, I need food. Yes, that is correct."
Goodbye+Pain+Help+No,"Goodbye. It hurts. Please assist me. No."
Hello+Hungry+Please+Pain,"Hello. Get me something to eat. Please, I'm in pain."
Pain+Goodbye+Water+Hungry, It hurts. Goodbye for now. Please get me a drink. I'm hungry.
No+Please+Goodbye+Yes,"No. Please. Goodbye. Yes, that is correct."
Please+Home+Hello+Pain,"If you would, take me home. Hello. I'm in pain."
ThankYou+No+Hungry+Goodbye,"Thanks. No. I need food. See you."
Home+Hungry+Yes+Hello,"Take me home. I need food. Yes. Hello."
Sorry+Home+Goodbye+No,"I apologize. I want to go home. Goodbye. No."
No+Please+Stop+Hello,"No. Please wait right there. Hello."
No+Wait+Please+Help,"No. Please hold on. Please help me."
No+ThankYou+Hello+Pain,"No, thank you. Hello. I am suffering."
Stop+Goodbye+Emergency+Pain, Please stop. Goodbye. This is an emergency! I'm in pain.
No+Stop+Emergency+Home,"No. Please wait right there. This is an emergency! I want to go home."
Wait+Pain+Sorry+Water, Please hold on. It hurts. I apologize. Could you get me a drink?
Emergency+Water+Pain+Sorry, This is urgent! I'm thirsty. I'm in pain. My apologies.
Stop+Hungry+Wait+No,"Please wait right there. I'm hungry. Please give me a second. No."
Help+Wait+No+Emergency,"Please assist me. Please hold on. No. This is an emergency!"
No+Sorry+Water+Home,"No. I apologize. I need water. Let's go home."
Home+Sorry+Goodbye+Wait, Take me home. I apologize. See you. Please wait a moment.
ThankYou+Hungry+Water+Yes,"Thanks. I'm hungry. I'm thirsty. Yes."
Emergency+Pain+Water+Please, This is urgent! I am suffering. I'm thirsty. Please.
Sorry+Please+No+Stop,"I'm sorry. Please, no. Please stop."
Water+No+Yes+Goodbye,"Please get me a drink. No. Yes. Goodbye."
Emergency+Pain+Yes+Stop,"Emergency situation! I am suffering. Yes. Please stop."
Emergency+Help+Hello+Home,"This is urgent! I need your assistance. Hello. Let's go home."
Wait+Please+Water+Hello,"Please give me a second. If you would, I'm thirsty. Hello."
No+Help+Water+Emergency,"No. Please help me. I'm thirsty. This is an emergency!"
Hello+Hungry+Sorry+Wait,"Hello. I need food. I'm sorry. Please wait a moment."
Sorry+Help+Wait+Emergency, I apologize. Please assist me. Give me a second. This is an emergency!
Emergency+Stop+Yes+Sorry,"This is urgent! Please stop. Yes. My apologies."
Wait+Sorry+Help+Hungry, Give me a second. I apologize. Please assist me. I need food.
Home+Hello+Stop+Wait,"Let's go home. Hello. Please stop. Please wait a moment."
Goodbye+Emergency+Please+Water,"Goodbye. This is urgent! Please, I need water."
Water+Help+Stop+Please,"I need water. I need your assistance. Please stop. And please."
Hello+Wait+Goodbye+Yes,"Hello. Please give me a second. Goodbye. Yes."
Home+Sorry+Help+Stop,"Take me home. I apologize. Please assist me. Please wait right there."
Wait+Help+Hello+Yes,"Please give me a second. Please help me. Hello. Yes."
ThankYou+Please+Yes+Pain,"Thank you. Please. Yes, I'm in pain."
ThankYou+Please+Hello+Wait,"Much appreciated. Please. Hello. Give me a second."
ThankYou+No+Emergency+Stop,"Thank you. No. This is an emergency! Please stop."
Water+Sorry+Wait+Hello,"Please get me a drink. I'm sorry. Give me a second. Hello."
Emergency+Pain+Water+Wait, This is urgent! It hurts. I'm thirsty. Please give me a second.
Help+Sorry+Hello+Pain,"Please assist me. My apologies. Hello. I am suffering."
Help+Goodbye+No+Please,"Please assist me. Goodbye. No. If you would, please."
Goodbye+Home+Emergency+Sorry, See you. I want to go home. This is urgent! I apologize.
Wait+Hello+Please+Sorry,"Please hold on. Hello. Please, I'm sorry."
Goodbye+Pain+Home+Water, Goodbye. I am suffering. Take me home. I need water.
No+Hello+Pain+Please,"No. Hello. It hurts. Please."
Goodbye+No+Hello+Yes,"Goodbye. No. Hello. Yes."
ThankYou+Pain+Hello+Wait,"Thank you. I am suffering. Hello. Please hold on."
Wait+Pain+Yes+No,"Please hold on. I am suffering. Yes. No."
Hungry+Goodbye+Emergency+Home,"I'm hungry. Goodbye. This is an emergency! I want to go home."
Hungry+Hello+Wait+Water,"I need something to eat. Hello. Give me a second. And get me a drink."
Goodbye+Hungry+Stop+Hello,"Goodbye. I need food. Please wait right there. Hello."
No+Hungry+Emergency+Sorry,"No. Get me something to eat. Emergency situation! I'm sorry."
Sorry+No+Wait+Emergency,"I'm sorry. No. Please hold on. This is an emergency!"
ThankYou+Help+Please+Water,"Much appreciated. Please help me. If you would, I need water."
Pain+No+Please+Help,"I'm in pain. No. Please assist me."
Stop+Please+Yes+ThankYou,"Please stop. Please. Yes. Thanks."
Hello+Emergency+Water+Wait,"Hello. This is urgent! I'm thirsty. Give me a second."
Emergency+Hello+ThankYou+Stop,"This is an emergency! Hello. Thanks. Please stop."
No+Home+Hello+Stop,"No. I want to go home. Hello. Please stop."
Sorry+Please+Home+Hello,"I'm sorry. If you would, I want to go home. Hello."
Hungry+Pain+Emergency+Sorry, I need food. I am suffering. This is urgent! My apologies.
Hello+Please+ThankYou+Yes,"Hello. Please. Thank you. Yes."
Pain+Water+Help+Stop, I am suffering. Please get me a drink. Please help me. Please stop.
Emergency+Stop+Help+Please, This is urgent! Please wait right there. I need your assistance. Please.
Pain+Hello+Help+ThankYou,"I'm in pain. Hello. I need your assistance. Thank you."
Help+Hungry+Yes+Goodbye,"I need your assistance. Get me something to eat. Yes. See you."
Yes+Help+Emergency+Please,"Yes, I need your assistance. This is an emergency! If you would, please."
ThankYou+Hungry+Sorry+Yes,"Thanks. Get me something to eat. I'm sorry. Yes."
Hello+Water+ThankYou+No,"Hello. Get me a drink. Thanks. No."
ThankYou+Stop+Hungry+No,"Much appreciated. Please stop. I need food. No."
Yes+ThankYou+Please+Emergency,"Yes, thank you. Please, this is an emergency!"
Hungry+Yes+Home+Help,"I'm hungry. Yes, let's go home. Please help me."
Help+Water+No+Hello,"Please help me. Get me a drink. No. Hello."
Stop+Yes+Pain+Water,"Please wait right there. Yes. It hurts. I need water."
Help+Stop+Emergency+Goodbye, I need your assistance. Please stop. This is urgent! Goodbye.
Hungry+Help+Goodbye+Home, Get me something to eat. Please help me. Goodbye. Let's go home.
Water+Stop+Emergency+No,"I need water. Please stop. This is an emergency! No."
Stop+Hungry+Emergency+Home, Please stop. Get me something to eat. This is an emergency! Take me home.
Please+Hello+Wait+Help,"If you would, hello. Please wait a moment. I need your assistance."
Wait+Emergency+Goodbye+Stop, Please give me a second. This is urgent! Goodbye. Please stop.
Help+Please+No+Emergency,"I need your assistance. Please. No. This is an emergency!"
Hello+ThankYou+Please+Emergency,"Hello. Thank you. If you would, this is urgent!"
Wait+Pain+Home+Hungry, Please hold on. It hurts. I want to go home. I need food.
ThankYou+Help+Goodbye+Hello,"Thanks. Please assist me. Goodbye. Hello."
Sorry+Hungry+ThankYou+Home, I'm sorry. I need food. Much appreciated. Let's go home.
Emergency+Wait+Help+Sorry, This is urgent! Please give me a second. Please assist me. My apologies.
Stop+Yes+Home+Pain,"Please stop. Yes. Let's go home. I'm in pain."
Pain+Yes+No+Hungry,"I'm in pain. Yes. No. I'm hungry."
No+Emergency+Home+Goodbye,"No. This is an emergency! Let's go home. Goodbye."
Yes+Wait+Hungry+Pain,"Yes. Please hold on. I need food. It hurts."
Wait+Water+Hungry+Goodbye,"Please hold on. I need water. I need food. Goodbye."
Home+Yes+No+Wait,"Let's go home. Yes. No. Please wait a moment."
Please+Sorry+Wait+Stop, "Kindly, I apologize. Please hold on. Please wait right there."
ThankYou+Yes+Water+Stop,"Much appreciated. Yes, I'm thirsty. Please stop."
Pain+Emergency+Goodbye+Wait,"I'm in pain. This is an emergency! Goodbye. Please give me a second."
Hungry+Help+Goodbye+Hello,"I need food. I need your assistance. Goodbye. Hello."
Wait+Hello+Help+Water,"Please hold on. Hello. I need your assistance. I need water."
Stop+ThankYou+Hungry+Sorry,"Please stop. Thank you. Get me something to eat. I'm sorry."
Water+Emergency+Goodbye+Hungry,"I'm thirsty. This is an emergency! See you. I need food."
Sorry+Please+Emergency+Pain,"I'm sorry. Please, this is urgent! It hurts."
Pain+Sorry+Home+Hello,"It hurts. I apologize. I want to go home. Hello."
Yes+Emergency+Please+Pain,"Yes, this is an emergency! If you would, please, I'm in pain."
Goodbye+Home+Pain+Sorry,"See you. I want to go home. I am suffering. I apologize."
Help+Water+Wait+Please,"I need your assistance. I'm thirsty. Please hold on. Please."
ThankYou+Hungry+No+Please,"Thank you. Get me something to eat. No. If you would, please."
Water+Wait+Stop+Help, I'm thirsty. Please hold on. Please wait right there. I need your assistance.
ThankYou+Home+Stop+Hungry, Thank you. I want to go home. Please wait right there. I'm hungry.
ThankYou+No+Home+Help,"Thank you. No. Please take me home. Please help me."
Goodbye+Please+Water+Wait,"See you. Please, I'm thirsty. Please hold on."
Hungry+Water+Please+Hello,"I need food. Please get me a drink. Please. Hello."
Water+Sorry+Stop+Hello,"Please get me a drink. I'm sorry. Please stop. Hello."
No+Goodbye+Stop+Please,"No. Goodbye. Please wait right there. If you would, please."
Emergency+Sorry+Goodbye+Home, This is urgent! My apologies. Goodbye. Let's go home.
Home+Wait+ThankYou+Emergency, Take me home. Please hold on. Thanks. This is an emergency!
Hello+Goodbye+Stop+Emergency,"Hello. Goodbye. Please stop. This is an emergency!"
Please+Home+Hungry+No,"Please, let's go home. I'm hungry. No."
Water+ThankYou+Emergency+Help, I'm thirsty. Much appreciated. This is an emergency! Please assist me.
Sorry+Hello+Home+No,"I'm sorry. Hello. Let's go home. No."
